Province_State,Deathcase,diags
Alabama,64,2169
Alaska,5,213
Arizona,59,2575
Arkansas,6,902
California,432,17309
Colorado,149,5177
Connecticut,274,7489
Delaware,16,928
District of Columbia,22,1211
Florida,254,14543
Georgia,322,8333
Hawaii,5,401
Idaho,13,1170
Illinois,379,13488
Indiana,173,5510
Iowa,24,1046
Kansas,29,912
Kentucky,60,997
Louisiana,580,16235
Maine,12,510
Maryland,103,4371
Massachusetts,344,14955
Michigan,841,18443
Minnesota,34,1063
Mississippi,60,1915
Missouri,59,2895
Montana,6,319
Nebraska,9,446
Nevada,60,2091
New Hampshire,3,714
New Jersey,1227,42209
New Mexico,13,794
New York,8770,139875
North Carolina,51,3299
North Dakota,4,237
Ohio,167,4782
Oklahoma,67,1472
Oregon,29,1132
Pennsylvania,247,14853
Rhode Island,3,876
South Carolina,51,2417
South Dakota,6,320
Tennessee,71,3790
Texas,160,8925
Utah,13,1739
Vermont,5,572
Virginia,16,3335
Washington,400,8015
West Virginia,4,412
Wisconsin,92,2578
Wyoming,0,216
