Province_State,Deathcase,diags
Alabama,44,1614
Alaska,1,171
Arizona,50,2019
Arkansas,6,690
California,289,12837
Colorado,110,4030
Connecticut,164,5035
Delaware,12,593
District of Columbia,21,902
Florida,194,11536
Georgia,197,5915
Hawaii,3,341
Idaho,10,1022
Illinois,243,10299
Indiana,116,3953
Iowa,11,787
Kansas,18,698
Kentucky,34,888
Louisiana,409,12465
Maine,7,444
Maryland,54,3125
Massachusetts,207,11446
Michigan,538,13890
Minnesota,19,863
Mississippi,35,1455
Missouri,31,2135
Montana,6,265
Nebraska,5,320
Nevada,46,1708
New Hampshire,3,540
New Jersey,832,30189
New Mexico,11,504
New York,5564,113833
North Carolina,34,2486
North Dakota,3,186
Ohio,102,3739
Oklahoma,42,1159
Oregon,22,899
Pennsylvania,136,10444
Rhode Island,3,565
South Carolina,40,1917
South Dakota,2,212
Tennessee,49,3041
Texas,116,6567
Utah,8,1428
Vermont,5,450
Virginia,16,2407
Washington,315,6764
West Virginia,2,282
Wisconsin,50,2030
Wyoming,0,187
