Province_State,Deathcase,diags
Alabama,80,2947
Alaska,5,246
Arizona,80,3112
Arkansas,21,1150
California,583,21077
Colorado,191,5967
Connecticut,444,10131
Delaware,16,1317
District of Columbia,38,1660
Florida,390,17529
Georgia,411,10239
Hawaii,5,437
Idaho,24,1354
Illinois,596,17806
Indiana,300,6907
Iowa,28,1388
Kansas,34,1117
Kentucky,69,1308
Louisiana,753,19199
Maine,17,583
Maryland,171,6968
Massachusetts,419,20824
Michigan,1273,22213
Minnesota,57,1335
Mississippi,82,2469
Missouri,91,3597
Montana,6,365
Nebraska,13,635
Nevada,86,2576
New Hampshire,3,787
New Jersey,1930,53939
New Mexico,17,1081
New York,11605,172348
North Carolina,83,3965
North Dakota,6,278
Ohio,213,5878
Oklahoma,88,1794
Oregon,43,1322
Pennsylvania,418,20051
Rhode Island,3,1319
South Carolina,72,3067
South Dakota,6,536
Tennessee,97,4594
Texas,238,12105
Utah,13,2103
Vermont,23,620
Virginia,38,4509
Washington,483,9211
West Virginia,4,574
Wisconsin,128,3068
Wyoming,0,239
